,,,Subdir,T2,Non-fat supressed T1,Pre-contrast,Post 1,Post 2,Post 3,Post 4,MIP,Other,??
,,,1st_pass_left_sag_mip_10708,,,,,,,,x,,
,,,1st_pass_left_sag_mip_10807,,,,,,,,x,,
,,,1st_pass_left_sag_mpr_100,,,,,,,,x,,
,,,1st_pass_left_sag_sub_mip_10511,,,,,,,,x,,
,,,1st_pass_left_sag_sub_mip_106,,,,,,,,x,,
,,,1st_pass_left_sag_sub_mip_10604,,,,,,,,x,,
,,,1st_pass_left_sag_sub_mip_10605,,,,,,,,x,,
,,,1st_pass_left_sagittal_mip_106,,,,,,,,x,,
,,,1st_pass_left_sagittal_mip_10608,,,,,,,,x,,
,,,1st_pass_left_sub_mip_10503,,,,,,,,x,,
,,,1st_pass_left_sub_mpr_10508,,,,,,,,,x,
,,,1st_pass_left_sub_mpr_10609,,,,,,,,,x,
,,,1st_pass_left_sub_reformat_15,,,,,,,,,x,
,,,1st_pass_left_sub_sag_mip_10604,,,,,,,,x,,
,,,1st_pass_left_subtraction_reformat_10804,,,,,,,,,x,
,,,1st_pass_lt_mpr_504,,,,,,,,,x,
,,,1st_pass_lt_sag__sub_mpr_102,,,,,,,,,x,
,,,1st_pass_lt_sag_mipMIP_Collection_105,,,,,,,,x,,
,,,1st_pass_lt_sag_mip_605,,,,,,,,x,,
,,,1st_pass_lt_sag_mpr_100,,,,,,,,,x,
,,,1st_pass_mips_104,,,,,,,,x,,
,,,1st_pass_mpr_left_100,,,,,,,,,x,
,,,1st_pass_mpr_left_19,,,,,,,,,x,
,,,1st_pass_mpr_lt_101,,,,,,,,,x,
,,,1st_pass_mpr_right_101,,,,,,,,,x,
,,,1st_pass_mpr_right_12,,,,,,,,,x,
,,,1st_pass_mpr_rt_100,,,,,,,,,x,
,,,1st_pass_rightMIP_Collection_21,,,,,,,,x,,
,,,1st_pass_right_505,,,,,,,,,x,
,,,1st_pass_right_breast_sag_mip_10807,,,,,,,,x,,
,,,1st_pass_right_breast_sagittal_mip_10507,,,,,,,,x,,
,,,1st_pass_right_breast_sagittal_mip_10607,,,,,,,,x,,
,,,1st_pass_right_breast_sagittal_mip_10908,,,,,,,,x,,
,,,1st_pass_right_breast_sagittal_reformat_sub_10504,,,,,,,,,x,
,,,1st_pass_right_breast_sagittal_reformat_sub_10905,,,,,,,,,x,
,,,1st_pass_right_breast_sagittal_reformat_unsub_504,,,,,,,,,x,
,,,1st_pass_right_breast_sagittal_reformat_unsub_905,,,,,,,,,x,
,,,1st_pass_right_dyn_mpr_505,,,,,,,,,x,
,,,1st_pass_right_dyn_mpr_605,,,,,,,,,x,
,,,1st_pass_right_mip_23,,,,,,,,x,,
,,,1st_pass_right_mpr_101,,,,,,,,,x,
,,,1st_pass_right_mpr_504,,,,,,,,,x,
,,,1st_pass_right_mpr_703,,,,,,,,,x,
,,,1st_pass_right_mpr_9,,,,,,,,,x,
,,,1st_pass_right_reformat_12,,,,,,,,,x,
,,,1st_pass_right_reformat_804,,,,,,,,,x,
,,,1st_pass_right_sag_504,,,,,,,,,x,
,,,1st_pass_right_sag_dyn_mip_10603,,,,,,,,x,,
,,,1st_pass_right_sag_mip_10508,,,,,,,,x,,
,,,1st_pass_right_sag_mip_10707,,,,,,,,x,,
,,,1st_pass_right_sag_mip_10808,,,,,,,,x,,
,,,1st_pass_right_sag_mpr_101,,,,,,,,,x,
,,,1st_pass_right_sag_sub_mip_105,,,,,,,,x,,
,,,1st_pass_right_sag_sub_mip_10508,,,,,,,,x,,
,,,1st_pass_right_sag_sub_mip_10603,,,,,,,,x,,
,,,1st_pass_right_sag_sub_mip_10604,,,,,,,,x,,
,,,1st_pass_right_sagittal_mip_105,,,,,,,,x,,
,,,1st_pass_right_sagittal_mip_10609,,,,,,,,x,,
,,,1st_pass_right_sub_mip_10504,,,,,,,,x,,
,,,1st_pass_right_sub_mpr_10509,,,,,,,,,x,
,,,1st_pass_right_sub_mpr_10610,,,,,,,,,x,
,,,1st_pass_right_sub_reformat_16,,,,,,,,,x,
,,,1st_pass_right_sub_sag_mip_10605,,,,,,,,x,,
,,,1st_pass_right_subtraction_reformat_10805,,,,,,,,,x,
,,,1st_pass_rt_mpr_503,,,,,,,,,x,
,,,1st_pass_rt_sag_mip_606,,,,,,,,x,,
,,,1st_pass_rt_sag_mprMIP_Collection_106,,,,,,,,x,,
,,,1st_pass_rt_sag_mpr_101,,,,,,,,,x,
,,,1st_pass_rt_sag_sub_mpr_103,,,,,,,,,x,
,,,1st_pass_sag_left_503,,,,,,,,,x,
,,,1st_pass_sag_left_mip_10506,,,,,,,,x,,
,,,1st_pass_sag_right_504,,,,,,,,,x,
,,,1st_pass_sag_right_mip_10507,,,,,,,,x,,
,,,1st_pass_sub_ax_MIPMIP_Collection_104,,,,,,,,x,,
,,,1st_pass_sub_ax_MIP_10505,,,,,,,,x,,
,,,1st_pass_sub_ax_MIP_10608,,,,,,,,x,,
,,,1st_pass_sub_ax_MIP_10806,,,,,,,,x,,
,,,1st_pass_sub_ax_mip_10504,,,,,,,,x,,
,,,1st_pass_sub_axial_mip_10505,,,,,,,,x,,
,,,1st_pass_sub_left_102,,,,,,,,,x,
,,,1st_pass_sub_left_mpr_10503,,,,,,,,,x,
,,,1st_pass_sub_left_reformat_10503,,,,,,,,,x,
,,,1st_pass_sub_left_sag_10504,,,,,,,,,x,
,,,1st_pass_sub_left_sag_MIPMIP_Collection_105,,,,,,,,x,,
,,,1st_pass_sub_left_sag_MIP_10506,,,,,,,,x,,
,,,1st_pass_sub_left_sag_MIP_10609,,,,,,,,x,,
,,,1st_pass_sub_left_sag_MIP_10807,,,,,,,,x,,
,,,1st_pass_sub_left_sag_MPR_102,,,,,,,,,x,
,,,1st_pass_sub_left_sag_MPR_10503,,,,,,,,,x,
,,,1st_pass_sub_left_sag_MPR_10605,,,,,,,,,x,
,,,1st_pass_sub_left_sag_MPR_10804,,,,,,,,,x,
,,,1st_pass_sub_left_sag_mip_10505,,,,,,,,x,,
,,,1st_pass_sub_left_sag_mip_10506,,,,,,,,x,,
,,,1st_pass_sub_left_sag_mpr_10510,,,,,,,,,x,
,,,1st_pass_sub_left_sag_mpr_10804,,,,,,,,,x,
,,,1st_pass_sub_mip_lt_105,,,,,,,,x,,
,,,1st_pass_sub_mip_rt_104,,,,,,,,x,,
,,,1st_pass_sub_mpr_left_110,,,,,,,,,x,
,,,1st_pass_sub_mpr_lt_103,,,,,,,,,x,
,,,1st_pass_sub_mpr_right_111,,,,,,,,,x,
,,,1st_pass_sub_mpr_rt_102,,,,,,,,,x,
,,,1st_pass_sub_right_103,,,,,,,,,x,
,,,1st_pass_sub_right_mpr_10504,,,,,,,,,x,
,,,1st_pass_sub_right_reformat_10504,,,,,,,,,x,
,,,1st_pass_sub_right_sag_10505,,,,,,,,,x,
,,,1st_pass_sub_right_sag_MIPMIP_Collection_106,,,,,,,,x,,
,,,1st_pass_sub_right_sag_MIP_10507,,,,,,,,x,,
,,,1st_pass_sub_right_sag_MIP_10610,,,,,,,,x,,
,,,1st_pass_sub_right_sag_MIP_10808,,,,,,,,x,,
,,,1st_pass_sub_right_sag_MPR_103,,,,,,,,,x,
,,,1st_pass_sub_right_sag_MPR_10504,,,,,,,,,x,
,,,1st_pass_sub_right_sag_MPR_10606,,,,,,,,,x,
,,,1st_pass_sub_right_sag_MPR_10805,,,,,,,,,x,
,,,1st_pass_sub_right_sag_mip_10506,,,,,,,,x,,
,,,1st_pass_sub_right_sag_mip_10507,,,,,,,,x,,
,,,1st_pass_sub_right_sag_mpr_10511,,,,,,,,,x,
,,,1st_pass_sub_right_sag_mpr_10805,,,,,,,,,x,
,,,1st_pass_sub_sag_left_10504,,,,,,,,,x,
,,,1st_pass_sub_sag_right_10505,,,,,,,,,x,
,,,1st_pass_unsub_left_100,,,,,,,,,x,
,,,1st_pass_unsub_left_mpr_502,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_MPR_100,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_MPR_503,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_MPR_604,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_MPR_803,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_mpr_504,,,,,,,,,x,
,,,1st_pass_unsub_left_sag_mpr_804,,,,,,,,,x,
,,,1st_pass_unsub_mpr_left_108,,,,,,,,,x,
,,,1st_pass_unsub_mpr_right_109,,,,,,,,,x,
,,,1st_pass_unsub_right_101,,,,,,,,,x,
,,,1st_pass_unsub_right_mpr_503,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_MPR_101,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_MPR_504,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_MPR_605,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_MPR_804,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_mpr_505,,,,,,,,,x,
,,,1st_pass_unsub_right_sag_mpr_805,,,,,,,,,x,
,,,1st_right_mip_512,,,,,,,,x,,
,,,1st_sub_ax_mip_10506,,,,,,,,x,,
,,,1st_sub_ax_mip_10705,,,,,,,,x,,
,,,1st_sub_axial_mip_106,,,,,,,,x,,
,,,1st_sub_leftMIP_Collection_104,,,,,,,,x,,
,,,1st_sub_leftMIP_Collection_24,,,,,,,,x,,
,,,1st_sub_left_10504,,,,,,,,,x,
,,,1st_sub_left_mipMIP_Collection_104,,,,,,,,x,,
,,,1st_sub_left_mipMIP_Collection_15,,,,,,,,x,,
,,,1st_sub_left_mip_10508,,,,,,,,x,,
,,,1st_sub_left_mip_10706,,,,,,,,x,,
,,,1st_sub_left_mip_18,,,,,,,,x,,
,,,1st_sub_left_mpr_10,,,,,,,,,x,
,,,1st_sub_left_mpr_102,,,,,,,,,x,
,,,1st_sub_left_mpr_10505,,,,,,,,,x,
,,,1st_sub_left_mpr_10703,,,,,,,,,x,
,,,1st_sub_left_mpr_13,,,,,,,,,x,
,,,1st_sub_left_sag_mip_104,,,,,,,,x,,
,,,1st_sub_left_sag_mpr_102,,,,,,,,,x,
,,,1st_sub_mip_axial_10506,,,,,,,,x,,
,,,1st_sub_mip_leftMIP_Collection_104,,,,,,,,x,,
,,,1st_sub_mip_left_10508,,,,,,,,x,,
,,,1st_sub_mip_rightMIP_Collection_105,,,,,,,,x,,
,,,1st_sub_mip_right_10510,,,,,,,,x,,
,,,1st_sub_mpr_left_102,,,,,,,,,x,
,,,1st_sub_mpr_left_16,,,,,,,,,x,
,,,1st_sub_mpr_left_502,,,,,,,,,x,
,,,1st_sub_mpr_right_103,,,,,,,,,x,
,,,1st_sub_mpr_right_17,,,,,,,,,x,
,,,1st_sub_mpr_right_503,,,,,,,,,x,
,,,1st_sub_pass_left_sag_mipMIP_Collection_104,,,,,,,,x,,
,,,1st_sub_pass_left_sag_mpr_102,,,,,,,,,x,
,,,1st_sub_pass_right_sag_mipMIP_Collection_105,,,,,,,,x,,
,,,1st_sub_pass_right_sag_mpr_103,,,,,,,,,x,
,,,1st_sub_rightMIP_Collection_105,,,,,,,,x,,
,,,1st_sub_rightMIP_Collection_25,,,,,,,,x,,
,,,1st_sub_right_10505,,,,,,,,,x,
,,,1st_sub_right_mipMIP_Collection_105,,,,,,,,x,,
,,,1st_sub_right_mipMIP_Collection_16,,,,,,,,x,,
,,,1st_sub_right_mip_10510,,,,,,,,x,,
,,,1st_sub_right_mip_10707,,,,,,,,x,,
,,,1st_sub_right_mip_19,,,,,,,,x,,
,,,1st_sub_right_mpr_103,,,,,,,,,x,
,,,1st_sub_right_mpr_10504,,,,,,,,,x,
,,,1st_sub_right_mpr_10704,,,,,,,,,x,
,,,1st_sub_right_mpr_14,,,,,,,,,x,
,,,1st_sub_right_sag_mip_105,,,,,,,,x,,
,,,1st_sub_right_sag_mpr_103,,,,,,,,,x,
,,,1st_subtracted_left_sagittal_reformat_10605,,,,,,,,,x,
,,,1st_subtracted_right_sagittal_reformat_10606,,,,,,,,,x,
,,,1st_unsub_mpr_left_100,,,,,,,,,x,
,,,1st_unsub_mpr_left_504,,,,,,,,,x,
,,,1st_unsub_mpr_right_101,,,,,,,,,x,
,,,1st_unsub_mpr_right_505,,,,,,,,,x,
,,,1st_unsubtracted_left_sagittal_reformat_605,,,,,,,,,x,
,,,1st_unsubtracted_right_sagittal_reformat_606,,,,,,,,,x,
,,,2ND_AXIAL_MIP_107,,,,,,,,x,,
,,,2ND_AXIAL_SUB_MIP_10506,,,,,,,,x,,
,,,2ND_LEFT_MIP_109,,,,,,,,x,,
,,,2ND_LEFT_SUB_MIP_10507,,,,,,,,x,,
,,,2ND_PASS_AXIAL_601,,,,,x,,,,,
,,,2ND_PASS_AXIAL_MIP_104,,,,,,,,x,,
,,,2ND_PASS_AXIAL_MIP_10608,,,,,,,,x,,
,,,2ND_PASS_LEFT_602,,,,,,,,,x,
,,,2ND_PASS_LEFT_BREAST_602,,,,,,,,,x,
,,,2ND_PASS_LEFT_MIP_105,,,,,,,,x,,
,,,2ND_PASS_LEFT_MIP_10609,,,,,,,,x,,
,,,2ND_PASS_RIGHT_603,,,,,,,,,x,
,,,2ND_PASS_RIGHT_BREAST_603,,,,,,,,,x,
,,,2ND_PASS_RIGHT_MIP_106,,,,,,,,x,,
,,,2ND_PASS_RIGHT_MIP_10610,,,,,,,,x,,
,,,2ND_PASS_SUB_AXIAL_MIP_10508,,,,,,,,x,,
,,,2ND_PASS_SUB_LEFT_SAG_MIP_10509,,,,,,,,x,,
,,,2ND_PASS_SUB_RIGHT_SAG_MIP_10510,,,,,,,,x,,
,,,2ND_RIGHT_MIP_108,,,,,,,,x,,
,,,2ND_RIGHT_SUB_MIP_10508,,,,,,,,x,,
,,,2nd_Pass_Axial_Breast_MipMIP_Collection_110,,,,,,,,x,,
,,,2nd_Pass_Axial_Breast_Mip_10508,,,,,,,,x,,
,,,2nd_Pass_Axial_Breast_Mip_601,,,,,,,,x,,
,,,2nd_Pass_Left_Breast_MipMIP_Collection_111,,,,,,,,x,,
,,,2nd_Pass_Left_Breast_Mip_10509,,,,,,,,x,,
,,,2nd_Pass_Left_Breast_Mip_602,,,,,,,,x,,
,,,2nd_Pass_Right_Breast_MipMIP_Collection_112,,,,,,,,x,,
,,,2nd_Pass_Right_Breast_Mip_10510,,,,,,,,x,,
,,,2nd_Pass_Right_Breast_Mip_603,,,,,,,,x,,
,,,2nd_Pass_Sub_105,,,,,,,,,x,
,,,2nd__pass_sub_right_113,,,,,,,,,x,
,,,2nd_ax_dyn_7,,,,,x,,,,,
,,,2nd_ax_mip_514,,,,,,,,x,,
,,,2nd_left_mip_516,,,,,,,,x,,
,,,2nd_pass_10506,,,,,x,,,,,
,,,2nd_pass_ax_mipMIP_Collection_107,,,,,,,,x,,
,,,2nd_pass_ax_mip_10508,,,,,,,,x,,
,,,2nd_pass_ax_mip_10509,,,,,,,,x,,
,,,2nd_pass_ax_mip_10809,,,,,,,,x,,
,,,2nd_pass_ax_mip_607,,,,,,,,x,,
,,,2nd_pass_axialMIP_Collection_22,,,,,,,,x,,
,,,2nd_pass_axial_mip_10509,,,,,,,,x,,
,,,2nd_pass_axial_mip_10609,,,,,,,,x,,
,,,2nd_pass_axial_mip_10610,,,,,,,,x,,
,,,2nd_pass_axial_mip_107,,,,,,,,x,,
,,,2nd_pass_axial_mip_10709,,,,,,,,x,,
,,,2nd_pass_axial_mip_10809,,,,,,,,x,,
,,,2nd_pass_axial_mip_10910,,,,,,,,x,,
,,,2nd_pass_axial_mip_24,,,,,,,,x,,
,,,2nd_pass_axial_sub_dyn_10607,,,,,,,,,x,
,,,2nd_pass_axial_sub_mip_10505,,,,,,,,x,,
,,,2nd_pass_axial_sub_mip_10512,,,,,,,,x,,
,,,2nd_pass_axial_sub_mip_10606,,,,,,,,x,,
,,,2nd_pass_axial_sub_mip_107,,,,,,,,x,,
,,,2nd_pass_axial_sub_mips_10607,,,,,,,,x,,
,,,2nd_pass_left_breast_sag_mip_10811,,,,,,,,x,,
,,,2nd_pass_left_breast_sagittal_mip_10511,,,,,,,,x,,
,,,2nd_pass_left_breast_sagittal_mip_10611,,,,,,,,x,,
,,,2nd_pass_left_breast_sagittal_mip_10912,,,,,,,,x,,
,,,2nd_pass_left_mip_26,,,,,,,,x,,
,,,2nd_pass_left_sag_mip_10510,,,,,,,,x,,
,,,2nd_pass_left_sag_mip_10711,,,,,,,,x,,
,,,2nd_pass_left_sag_mip_10810,,,,,,,,x,,
,,,2nd_pass_left_sag_sub_dyn_10609,,,,,,,,,x,
,,,2nd_pass_left_sag_sub_mip_10509,,,,,,,,x,,
,,,2nd_pass_left_sag_sub_mip_10607,,,,,,,,x,,
,,,2nd_pass_left_sag_sub_mip_10608,,,,,,,,x,,
,,,2nd_pass_left_sag_sub_mip_108,,,,,,,,x,,
,,,2nd_pass_left_sag_sub_mips_10609,,,,,,,,x,,
,,,2nd_pass_left_sagittal_mip_10611,,,,,,,,x,,
,,,2nd_pass_left_sagittal_mip_109,,,,,,,,x,,
,,,2nd_pass_left_sub_mip_10506,,,,,,,,x,,
,,,2nd_pass_left_sub_mip_108,,,,,,,,x,,
,,,2nd_pass_lt_sag_mipMIP_Collection_108,,,,,,,,x,,
,,,2nd_pass_lt_sag_mip_608,,,,,,,,x,,
,,,2nd_pass_mips_105,,,,,,,,x,,
,,,2nd_pass_right_breast_sag_mip_10810,,,,,,,,x,,
,,,2nd_pass_right_breast_sagittal_mip_10510,,,,,,,,x,,
,,,2nd_pass_right_breast_sagittal_mip_10610,,,,,,,,x,,
,,,2nd_pass_right_breast_sagittal_mip_10911,,,,,,,,x,,
,,,2nd_pass_right_mip_25,,,,,,,,x,,
,,,2nd_pass_right_sag_mip_10511,,,,,,,,x,,
,,,2nd_pass_right_sag_mip_10710,,,,,,,,x,,
,,,2nd_pass_right_sag_mip_10811,,,,,,,,x,,
,,,2nd_pass_right_sag_sub_dyn_10608,,,,,,,,,x,
,,,2nd_pass_right_sag_sub_mip_10510,,,,,,,,x,,
,,,2nd_pass_right_sag_sub_mip_10607,,,,,,,,x,,
,,,2nd_pass_right_sag_sub_mip_10608,,,,,,,,x,,
,,,2nd_pass_right_sag_sub_mip_109,,,,,,,,x,,
,,,2nd_pass_right_sag_sub_mips_10608,,,,,,,,x,,
,,,2nd_pass_right_sagittal_mip_10612,,,,,,,,x,,
,,,2nd_pass_right_sagittal_mip_108,,,,,,,,x,,
,,,2nd_pass_right_sub_mip_10507,,,,,,,,x,,
,,,2nd_pass_right_sub_mip_109,,,,,,,,x,,
,,,2nd_pass_rt_sag_mipMIP_Collection_109,,,,,,,,x,,
,,,2nd_pass_rt_sag_mip_609,,,,,,,,x,,
,,,2nd_pass_sag_left_mip_10509,,,,,,,,x,,
,,,2nd_pass_sag_right_mip_10510,,,,,,,,x,,
,,,2nd_pass_sub_ax_MIPMIP_Collection_107,,,,,,,,x,,
,,,2nd_pass_sub_ax_MIP_10508,,,,,,,,x,,
,,,2nd_pass_sub_ax_MIP_10611,,,,,,,,x,,
,,,2nd_pass_sub_ax_MIP_10809,,,,,,,,x,,
,,,2nd_pass_sub_ax_mip_10507,,,,,,,,x,,
,,,2nd_pass_sub_axial_mip_10510,,,,,,,,x,,
,,,2nd_pass_sub_left_107,,,,,,,,,x,
,,,2nd_pass_sub_left_sag_MIPMIP_Collection_109,,,,,,,,x,,
,,,2nd_pass_sub_left_sag_MIP_10509,,,,,,,,x,,
,,,2nd_pass_sub_left_sag_MIP_10612,,,,,,,,x,,
,,,2nd_pass_sub_left_sag_MIP_10810,,,,,,,,x,,
,,,2nd_pass_sub_left_sag_mip_10508,,,,,,,,x,,
,,,2nd_pass_sub_mip_lt_106,,,,,,,,x,,
,,,2nd_pass_sub_mip_rt_107,,,,,,,,x,,
,,,2nd_pass_sub_right_sag_MIPMIP_Collection_108,,,,,,,,x,,
,,,2nd_pass_sub_right_sag_MIP_10510,,,,,,,,x,,
,,,2nd_pass_sub_right_sag_MIP_10613,,,,,,,,x,,
,,,2nd_pass_sub_right_sag_MIP_10811,,,,,,,,x,,
,,,2nd_pass_sub_right_sag_mip_10509,,,,,,,,x,,
,,,2nd_pass_unsub_left_104,,,,,,,,,x,
,,,2nd_pass_unsub_right_106,,,,,,,,,x,
,,,2nd_right_mip_518,,,,,,,,x,,
,,,2nd_sub_ax_mip_10512,,,,,,,,x,,
,,,2nd_sub_ax_mip_10708,,,,,,,,x,,
,,,2nd_sub_axial_mip_109,,,,,,,,x,,
,,,2nd_sub_leftMIP_Collection_107,,,,,,,,x,,
,,,2nd_sub_leftMIP_Collection_26,,,,,,,,x,,
,,,2nd_sub_left_mipMIP_Collection_106,,,,,,,,x,,
,,,2nd_sub_left_mipMIP_Collection_17,,,,,,,,x,,
,,,2nd_sub_left_mip_10514,,,,,,,,x,,
,,,2nd_sub_left_mip_10709,,,,,,,,x,,
,,,2nd_sub_left_mip_21,,,,,,,,x,,
,,,2nd_sub_left_sag_mip_107,,,,,,,,x,,
,,,2nd_sub_mip_axial_10512,,,,,,,,x,,
,,,2nd_sub_mip_leftMIP_Collection_107,,,,,,,,x,,
,,,2nd_sub_mip_left_10514,,,,,,,,x,,
,,,2nd_sub_mip_rightMIP_Collection_106,,,,,,,,x,,
,,,2nd_sub_mip_right_10516,,,,,,,,x,,
,,,2nd_sub_pass_left_sag_mipMIP_Collection_109,,,,,,,,x,,
,,,2nd_sub_pass_right_sag_mipMIP_Collection_108,,,,,,,,x,,
,,,2nd_sub_rightMIP_Collection_106,,,,,,,,x,,
,,,2nd_sub_rightMIP_Collection_27,,,,,,,,x,,
,,,2nd_sub_right_mipMIP_Collection_107,,,,,,,,x,,
,,,2nd_sub_right_mipMIP_Collection_21,,,,,,,,x,,
,,,2nd_sub_right_mip_10516,,,,,,,,x,,
,,,2nd_sub_right_mip_10710,,,,,,,,x,,
,,,2nd_sub_right_mip_20,,,,,,,,x,,
,,,2nd_sub_right_sag_mip_108,,,,,,,,x,,
,,,3RD_PASS_AXIAL_701,,,,,,x,,,,
,,,3RD_PASS_LEFT_BREAST_702,,,,,,,,,x,
,,,3RD_PASS_RIGHT_BREAST_703,,,,,,,,,x,
,,,3_plane_loc_1,,,,,,,,,x,
,,,3_plane_loc_5,,,,,,,,,x,
,,,3_plane_loc_SSFSE_1,,,,,,,,,x,
,,,3_plane_loc_SSFSE_2,,,,,,,,,x,
,,,3_plane_loc_SSFSE_3,,,,,,,,,x,
,,,3_plane_loc_SSFSE_5,,,,,,,,,x,
,,,3d_dyn_2,,,x,,,,,,,
,,,3d_dyn_3,,,x,,,,,,,
,,,3d_dyn_4,,,x,,,,,,,
,,,3d_dyn_5,,,x,,,,,,,
,,,3rd_Pass_Sub_113,,,,,,,,,x,
,,,3rd_ax_dyn_8,,,,,,x,,,,
,,,4TH_PASS_AXIAL_901,,,,,,,x,,,
,,,4TH_PASS_LEFT_BREAST_902,,,,,,,,,x,
,,,4TH_PASS_RIGHT_BREAST_903,,,,,,,,,x,
,,,4th_Pass_Sub_114,,,,,,,,,x,
,,,4th_ax_dyn_14,,,,,,,x,,,
,,,AXIAL_1ST_PASS_601,,,,x,,,,,,
,,,AXIAL_1ST_PASS_701,,,,x,,,,,,
,,,AXIAL_2ND_PASS_700,,,,,x,,,,,
,,,AXIAL_2ND_PASS_801,,,,,x,,,,,
,,,AXIAL_SUB_MIP_1ST_DYN_PASS_10603,,,,,,,,x,,
,,,AXIAL_SUB_MIP_1ST_PASS_10703,,,,,,,,x,,
,,,AXIAL_SUB_MIP_2ND_DYN_PASS_10606,,,,,,,,x,,
,,,AXIAL_SUB_MIP_2ND_PASS_10708,,,,,,,,x,,
,,,AX_1ST_PASS_SUB_MIP_10505,,,,,,,,x,,
,,,AX_1ST_PASS_SUB_MIP_604,,,,,,,,x,,
,,,AX_2ND_PASS_SUB_MIP_10508,,,,,,,,x,,
,,,AX_2ND_PASS_SUB_MIP_607,,,,,,,,x,,
,,,AX_IDEAL_Breast_1004,,,,,,,,,x,
,,,AX_IDEAL_Breast_4,,,,,,,,,x,
,,,AX_IDEAL_Breast_604,,,,,,,,,x,
,,,AX_IDEAL_Breast_704,,,,,,,,,x,
,,,AX_IDEAL_Breast_904,,,,,,,,,x,
,,,AX_MIP_1ST_SUB_10904,,,,,,,,x,,
,,,AX_MIP_2ND_SUB_10905,,,,,,,,x,,
,,,Apparent_Diffusion_Coefficient_(mm2s)_501,,,,,,,,,x,
,,,Apparent_Diffusion_Coefficient_(mm2s)_601,,,,,,,,,x,
,,,Apparent_Diffusion_Coefficient_(mm2s)_703,,,,,,,,,x,
,,,Apparent_Diffusion_Coefficient_(mms)_501,,,,,,,,,x,
,,,Apparent_Diffusion_Coefficient_(mm²s)_500,,,,,,,,,x,
,,,Ax_DWI_BH_10,,,,,,,,,x,
,,,Ax_DWI_BH_11,,,,,,,,,x,
,,,Ax_DWI_BH_4,,,,,,,,,x,
,,,Ax_DWI_BH_5,,,,,,,,,x,
,,,Ax_DWI_BH_6,,,,,,,,,x,
,,,Ax_DWI_BH_8,,,,,,,,,x,
,,,Ax_DWI_BH_repeat_12,,,,,,,,,x,
,,,Ax_T2_FS_9,x,,,,,,,,,
,,,Calibration_Scan_3,,,,,,,,,x,
,,,Exponential_Apparent_Diffusion_Coefficient_500,,,,,,,,,x,
,,,Exponential_Apparent_Diffusion_Coefficient_501,,,,,,,,,x,
,,,Exponential_Apparent_Diffusion_Coefficient_600,,,,,,,,,x,
,,,Exponential_Apparent_Diffusion_Coefficient_702,,,,,,,,,x,
,,,FATax_t2_ideal_600,x,,,,,,,,,
,,,FATax_vibrant_flex_700,,,,,,,,,x,
,,,First_Dynamic_Left_MPR_22,,,,,,,,,x,
,,,First_Dynamic_Left_MPR_505,,,,,,,,,x,
,,,First_Dynamic_Right_MPR_21,,,,,,,,,x,
,,,First_Dynamic_Right_MPR_504,,,,,,,,,x,
,,,First_Pass_Axial_MIP_10506,,,,,,,,x,,
,,,First_Pass_Left_BreastMIP_Collection_18,,,,,,,,x,,
,,,First_Pass_Left_MIP_10508,,,,,,,,x,,
,,,First_Pass_Right_BreastMIP_Collection_17,,,,,,,,x,,
,,,First_Pass_Right_MIP_10507,,,,,,,,x,,
,,,First_Subtraction_Left_MPR_10505,,,,,,,,,x,
,,,First_Subtraction_Left_MPR_24,,,,,,,,,x,
,,,First_Subtraction_Right_MPR_10504,,,,,,,,,x,
,,,First_Subtraction_Right_MPR_23,,,,,,,,,x,
,,,InPhaseax_t2_ideal_601,x,,,,,,,,,
,,,LEFT_14,,,,,,,,,x,
,,,LEFT_16,,,,,,,,,x,
,,,LEFT_1ST_PASS_100,,,,x,,,,,,
,,,LEFT_1ST_SUB_102,,,,,,,,,x,
,,,LEFT_2ND_SUB_104,,,,,,,,,x,
,,,LEFT_2ND_SUB_105,,,,,,,,,x,
,,,LEFT_BREAST_16,,,,,,,,,x,
,,,LEFT_BREAST_1ST_PASS_602,,,,,,,,,x,
,,,LEFT_BREAST_1ST_PASS_702,,,,,,,,,x,
,,,LEFT_BREAST_2ND_PASS_701,,,,,,,,,x,
,,,LEFT_BREAST__2ND_PASS_802,,,,,,,,,x,
,,,LEFT_MIP_1ST_PASS_100,,,,,,,,x,,
,,,LEFT_SAG_MIP_2ND_DYN_PASS_10608,,,,,,,,x,,
,,,LEFT_SAG_REFORMAT_703,,,,,,,,,x,
,,,LEFT_SAG_REFORMAT_SUB_10706,,,,,,,,,x,
,,,LEFT_SAG_SUB_MIP_1ST_DYN_PASS_10605,,,,,,,,x,,
,,,LEFT_SAG_SUB_MIP_1ST_PASS_10705,,,,,,,,x,,
,,,LEFT_SAG_SUB_MIP_2ND_PASS_10710,,,,,,,,x,,
,,,LT_1ST_PASS_100,,,,,,,,,x,
